,Name,Land,Form,Träger,Promotions_recht,Gründung,Stand
266,Akademie für Darstellende Kunst Baden-Württemberg (Ludwigsburg),BW,FH,staatlich,nein,2007,2013/14 (WS)
267,Filmakademie Baden-Württemberg (Ludwigsburg),BW,FH,staatlich,nein,1991,2014
268,Evangelische Hochschule Ludwigsburg,BW,FH,konfessionell,nein,1971,2012/13 (WS)
269,Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,BW,FH,staatlich,nein,1999,2012/13 (WS)
270,Pädagogische Hochschule Ludwigsburg,BW,PH,staatlich,ja,1962,2016/17 (WS)
271,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,RP,FH,staatlich,nein,1965,2018/19 (WS)
272,Technische Hochschule Lübeck,SH,FH,staatlich,nein,1969,2019 (SS)
273,Leuphana Universität Lüneburg,NI,Uni,staatlich,ja,1946,2017/18 (WS)
274,Musikhochschule Lübeck,SH,FH,staatlich,nein,1973,2012/13 (WS)
275,Universität zu Lübeck,SH,Uni,staatlich,ja,1964,2016/17 (WS)
276,Otto-von-Guericke-Universität Magdeburg,ST,Uni,staatlich,ja,1993,2017/18 (WS)
277,Hochschule Magdeburg-Stendal,ST,FH,staatlich,nein,1991,2018/19 (WS)
278,Hochschule Mainz,RP,FH,staatlich,nein,1971,2018/19 (WS)
279,Katholische Hochschule Mainz,RP,FH,konfessionell,nein,1972,2018/19 (WS)
280,Johannes Gutenberg-Universität Mainz,RP,Uni,staatlich,ja,1477/1946,2018/19 (WS)
281,"Hochschule der Bundesagentur für Arbeit (Mannheim, Schwerin)",BW,FH,staatlich,nein,2006,2012/13 (WS)
282,Hochschule der Wirtschaft für Management Mannheim,BW,FH,privat,nein,2010,2012/13 (WS)
283,Hochschule für Musik und Darstellende Kunst Mannheim,BW,FH,staatlich,ja,1971,2016/17 (WS)
284,Hochschule Mannheim,BW,FH,staatlich,nein,1898,2012/13 (WS)
285,Popakademie Baden-Württemberg (Mannheim),BW,FH,staatlich,nein,2003,2011
286,Universität Mannheim,BW,Uni,staatlich,ja,1967,2016/17 (WS)
287,Archivschule Marburg,HE,FH,staatlich,nein,1949,2012/13 (WS)
288,Evangelische Hochschule Tabor (Marburg),HE,FH,konfessionell,nein,1909; FH seit 2009,2012/13 (WS)
289,Philipps-Universität Marburg,HE,Uni,staatlich,ja,1527,2017/18 (WS)
290,"Hochschule für öffentliche Verwaltung Rheinland-Pfalz (Mayen, Lautzenhausen)",RP,FH,staatlich,nein,1981,2012/13 (WS)
